templateKey,title,description,type,energy,health,sellPrice,tags
blog-post,Triple Shot Espresso,"It's more potent than regular coffee!, ",cooking,8,5,450,"Coffee, Coffee, Coffee, edible"
blog-post,Green Tea,"A pleasant,  energizing beverage made from lightly processed tea leaves., ",cooking,13,5,100,"Tea Leaves, edible"
blog-post,Shrimp Cocktail,"A sumptuous appetizer made with freshly-caught shrimp., ",cooking,225,101,160,"Shrimp, Tomato, Wild Horseradish, edible"
blog-post,Seafoam Pudding,"This briny pudding will really get you into the maritime mindset!, ",cooking,175,78,300,"Flounder, Midnight Carp, edible"
blog-post,Fried Egg,"Sunny-side up., ",cooking,50,22,35,"Egg, edible"
blog-post,Omelet,"It's super fluffy., ",cooking,100,45,125,"Egg, Milk, edible"
blog-post,Salad,"A healthy garden salad., ",cooking,113,50,110,"Leek, Dandelion, Vinegar, edible"
blog-post,Cheese Cauliflower,"It smells great!, ",cooking,138,62,300,"Cauliflower, Cheese, edible"
blog-post,Baked Fish,"Baked fish on a bed of herbs., ",cooking,75,33,100,"Sunfish, Bream, Wheat Flour, edible"
blog-post,Parsnip Soup,"It's fresh and hearty., ",cooking,85,38,120,"Parsnip, Milk, Vinegar, edible"
blog-post,Vegetable Medley,"This is very nutritious., ",cooking,165,74,120,"Tomato, Beet, edible"
blog-post,Complete Breakfast,"You'll feel ready to take on the world!, ",cooking,200,90,350,"Fried Egg, Milk, Hashbrowns, Pancakes, edible"
blog-post,Fried Calamari,"It's so chewy., ",cooking,80,36,150,"Squid, Wheat Flour, Oil, edible"
blog-post,Strange Bun,"What's inside?, ",cooking,100,45,225,"Wheat Flour, Periwinkle, Void Mayonnaise, edible"
blog-post,Lucky Lunch,"A special little meal., ",cooking,100,45,250,"Sea Cucumber, Tortilla, Blue Jazz, edible"
blog-post,Fried Mushroom,"Earthy and aromatic., ",cooking,135,60,200,"Common Mushroom, Morel, Oil, edible"
blog-post,Pizza,"It's popular for all the right reasons., ",cooking,150,67,300,"Wheat Flour, Tomato, Cheese, edible"
blog-post,Bean Hotpot,"It sure is healthy., ",cooking,125,56,100,"Green Bean, edible"
blog-post,Glazed Yams,"Sweet and satisfying... The sugar gives it a hint of caramel., ",cooking,200,90,200,"Yam, Sugar, edible"
blog-post,Carp Surprise,"It's bland and oily., ",cooking,90,40,150,"Carp, edible"
blog-post,Hashbrowns,"Crispy and golden-brown!, ",cooking,90,40,120,"Potato, Oil, edible"
blog-post,Pancakes,"A double stack of fluffy,  soft pancakes., ",cooking,90,40,80,"Wheat Flour, Egg, edible"
blog-post,Salmon Dinner,"The lemon spritz makes it special., ",cooking,125,56,300,"Salmon, Amaranth, Kale, edible"
blog-post,Fish Taco,"It smells delicious., ",cooking,165,74,500,"Tuna, Tortilla, Red Cabbage, Mayonnaise, edible"
blog-post,Crispy Bass,"Wow,  the breading is perfect., ",cooking,90,40,150,"Largemouth Bass, Wheat Flour, Oil, edible"
blog-post,Pepper Poppers,"Spicy breaded peppers filled with cheese., ",cooking,130,58,200,"Hot Pepper, Cheese, edible"
blog-post,Bread,"A crusty baguette., ",cooking,50,22,60,"Wheat Flour, edible"
blog-post,Tom Kha Soup,"These flavors are incredible!, ",cooking,175,78,250,"Coconut, Shrimp, Common Mushroom, edible"
blog-post,Trout Soup,"Pretty salty., ",cooking,100,45,100,"Rainbow Trout, Green Algae, edible"
blog-post,Chocolate Cake,"Rich and moist with a thick fudge icing., ",cooking,150,67,200,"Wheat Flour, Sugar, Egg, edible"
blog-post,Pink Cake,"There's little heart candies on top., ",cooking,250,112,480,"Melon, Wheat Flour, Sugar, Egg, edible"
blog-post,Rhubarb Pie,"Mmm,  tangy and sweet!, ",cooking,215,96,400,"Rhubarb, Wheat Flour, Sugar, edible"
blog-post,Cookie,"Very chewy., ",cooking,90,40,140,"Wheat Flour, Sugar, Egg, edible"
blog-post,Spaghetti,"An old favorite., ",cooking,75,33,120,"Wheat Flour, Tomato, edible"
blog-post,Fried Eel,"Greasy but flavorful., ",cooking,75,33,120,"Eel, Oil, edible"
blog-post,Spicy Eel,"It's really spicy! Be careful., ",cooking,115,51,175,"Eel, Hot Pepper, edible"
blog-post,Sashimi,"Raw fish sliced into thin pieces., ",cooking,75,33,75,"Fish, edible"
blog-post,Maki Roll,"Fish and rice wrapped in seaweed., ",cooking,100,45,220,"Fish, Seaweed, Rice, edible"
blog-post,Tortilla,"Can be used as a vessel for food or eaten by itself., ",cooking,50,22,50,"Corn, edible"
blog-post,Red Plate,"Full of antioxidants., ",cooking,240,108,400,"Red Cabbage, Radish, edible"
blog-post,Eggplant Parmesan,"Tangy,  cheesy,  and wonderful., ",cooking,175,78,200,"Eggplant, Tomato, edible"
blog-post,Rice Pudding,"It's creamy,  sweet,  and fun to eat., ",cooking,115,51,260,"Milk, Sugar, Rice, edible"
blog-post,Ice Cream,"It's hard to find someone who doesn't like this., ",cooking,100,45,120,"Milk, Sugar, edible"
blog-post,Blueberry Tart,"It's subtle and refreshing., ",cooking,125,56,150,"Blueberry, Wheat Flour, Sugar, Egg, edible"
blog-post,Autumn's Bounty,"A taste of the season., ",cooking,220,99,350,"Yam, Pumpkin, edible"
blog-post,Pumpkin Soup,"A seasonal favorite., ",cooking,200,90,300,"Pumpkin, Milk, edible"
blog-post,Super Meal,"It's a really energizing meal., ",cooking,160,72,220,"Bok Choy, Cranberries, Artichoke, edible"
blog-post,Cranberry Sauce,"A festive treat., ",cooking,125,56,120,"Cranberries, Sugar, edible"
blog-post,Stuffing,"Ahh... the smell of warm bread and sage., ",cooking,170,76,165,"Bread, Cranberries, Hazelnut, edible"
blog-post,Farmer's Lunch,"This'll keep you going., ",cooking,200,90,150,"Omelet, Parsnip, edible"
blog-post,Survival Burger,"A convenient snack for the explorer., ",cooking,125,56,180,"Bread, Cave Carrot, Eggplant, edible"
blog-post,Dish O' The Sea,"This'll keep you warm in the cold sea air., ",cooking,125,56,220,"Sardine, Hashbrowns, edible"
blog-post,Miner's Treat,"This should keep your energy up., ",cooking,125,56,200,"Cave Carrot, Sugar, Milk, edible"
blog-post,Roots Platter,"This'll get you digging for more., ",cooking,125,56,100,"Cave Carrot, Winter Root, edible"
blog-post,Algae Soup,"It's a little slimy., ",cooking,75,33,100,"Green Algae, edible"
blog-post,Pale Broth,"A delicate broth with a hint of sulfur., ",cooking,125,56,150,"White Algae, edible"
blog-post,Plum Pudding,"A traditional holiday treat., ",cooking,175,78,260,"Wild Plum, Wheat Flour, Sugar, edible"
blog-post,Artichoke Dip,"It's cool and refreshing., ",cooking,100,45,210,"Artichoke, Milk, edible"
blog-post,Stir Fry,"Julienned vegetables on a bed of rice., ",cooking,200,90,335,"Cave Carrot, Common Mushroom, Kale, Oil, edible"
blog-post,Roasted Hazelnuts,"The roasting process creates a rich forest flavor., ",cooking,175,78,270,"Hazelnut, edible"
blog-post,Pumpkin Pie,"Silky pumpkin cream in a flakey crust., ",cooking,225,101,385,"Pumpkin, Wheat Flour, Milk, Sugar, edible"
blog-post,Radish Salad,"The radishes are so crisp!, ",cooking,200,90,300,"Oil, Vinegar, Radish, edible"
blog-post,Fruit Salad,"A delicious combination of summer fruits., ",cooking,263,118,450,"Blueberry, Melon, Apricot, edible"
blog-post,Blackberry Cobbler,"There's nothing quite like it., ",cooking,175,78,260,"Blackberry, Sugar, Wheat Flour, edible"
blog-post,Cranberry Candy,"It's sweet enough to mask the bitter fruit., ",cooking,125,56,175,"Cranberries, Apple, Sugar, edible"
blog-post,Bruschetta,"Roasted tomatoes on a crisp white bread., ",cooking,113,50,210,"Bread, Oil, Tomato, edible"
blog-post,Coleslaw,"It's light,  fresh and very healthy., ",cooking,213,95,345,"Red Cabbage, Vinegar, Mayonnaise, edible"
blog-post,Fiddlehead Risotto,"A creamy rice dish served with sauteed fern heads. It's a little bland., ",cooking,225,101,350,"Oil, Fiddlehead Fern, Garlic, edible"
blog-post,Poppyseed Muffin,"It has a soothing effect., ",cooking,150,67,250,"Poppy, Wheat Flour, Sugar, edible"
blog-post,Chowder,"A perfect way to warm yourself after a cold night at sea., ",cooking,225,101,135,"Clam, Milk, edible"
blog-post,Lobster Bisque,"This delicate soup is a secret family recipe of Willy's., ",cooking,225,101,205,"Lobster, Milk, edible"
blog-post,Escargot,"Butter-soaked snails cooked to perfection., ",cooking,225,101,125,"Snail, Garlic, edible"
blog-post,Fish Stew,"It smells a lot like the sea. Tastes better,  though., ",cooking,225,101,175,"Crayfish, Mussel, Periwinkle, Tomato, edible"
blog-post,Maple Bar,"It's a sweet doughnut topped with a rich maple glaze., ",cooking,225,101,300,"Maple Syrup, Sugar, Wheat Flour, edible"
blog-post,Crab Cakes,"Crab,  bread crumbs,  and egg formed into patties then fried to a golden brown., ",cooking,225,101,275,"Crab, Wheat Flour, Egg, Oil, edible"